id,num_sold
230130,73.83435704023304
230131,1006.648434171072
230132,771.2733868374705
230133,319.3956767239344
230134,421.4307809728163
230135,464.7783878324393
230136,1397.5924649632782
230137,1162.2174176296767
230138,710.3397075161406
230139,812.3748117650225
230140,602.4547868402702
230141,1535.268863971109
230142,1299.8938166375076
230143,848.0161065239715
230144,950.0512107728534
230145,73.83435704023304
230146,1006.648434171072
230147,771.2733868374705
230148,319.3956767239344
230149,421.4307809728163
230150,464.7783878324393
230151,1397.5924649632782
230152,1162.2174176296767
230153,710.3397075161406
230154,812.3748117650225
230155,602.4547868402702
230156,1535.268863971109
230157,1299.8938166375076
230158,848.0161065239715
230159,950.0512107728534
230160,-224.1377059777151
230161,708.6763711531239
230162,473.3013238195224
230163,21.423613705986327
230164,123.45871795486823
230165,166.80632481449118
230166,1099.62040194533
230167,864.2453546117285
230168,412.3676444981925
230169,514.4027487470744
230170,304.4827238223221
230171,1237.296800953161
230172,1001.9217536195595
230173,550.0440435060234
230174,652.0791477549053
230175,-630.5146095059217
230176,302.29946762491727
230177,66.92442029131576
230178,-384.9532898222203
230179,-282.9181855733384
230180,-239.57057871371535
230181,693.2434984171234
230182,457.86845108352196
230183,5.990740969985836
230184,108.02584521886774
230185,-101.89417970588443
230186,830.9198974249543
230187,595.5448500913528
230188,143.66713997781676
230189,245.70224422669867
230190,643.5744654601788
230191,1576.3885425910178
230192,1341.0134952574163
230193,889.1357851438802
230194,991.1708893927621
230195,1034.518496252385
230196,1967.332573383224
230197,1731.9575260496224
230198,1280.0798159360863
230199,1382.1149201849682
230200,1172.194895260216
230201,2105.008972391055
230202,1869.6339250574533
230203,1417.7562149439173
230204,1519.7913191927992
230205,73.83435704023304
230206,1006.648434171072
230207,771.2733868374705
230208,319.3956767239344
230209,421.4307809728163
230210,464.7783878324393
230211,1397.5924649632782
230212,1162.2174176296767
230213,710.3397075161406
230214,812.3748117650225
230215,602.4547868402702
230216,1535.268863971109
230217,1299.8938166375076
230218,848.0161065239715
230219,950.0512107728534
