id,yield
15289,4330.79126692769
15290,6108.456570494542
15291,7252.491282375084
15292,4996.338726406998
15293,3717.241922054436
15294,4954.78900209797
15295,7180.191772722073
15296,6403.75041262213
15297,8393.069326257862
15298,4229.851194041025
15299,5906.402741787584
15300,5915.699986570837
15301,5517.297641805507
15302,5596.0339767412715
15303,5111.734910428125
15304,4852.747565175755
15305,4856.306532082418
15306,6285.23136856292
15307,5012.863228788914
15308,5766.208804618142
15309,6138.000375362646
15310,7613.730380733412
15311,5010.509640781731
15312,5183.5325549617955
15313,6355.708331444834
15314,5109.617707243218
15315,4604.24152235805
15316,7959.9584549229385
15317,5628.960775957273
15318,7857.464152079432
15319,8143.6779809895215
15320,6965.1850945573715
15321,6631.356961697353
15322,2729.5416837290186
15323,5930.123054249597
15324,2647.436438733431
15325,7144.6930861066485
15326,6137.514369197061
15327,4151.376012234019
15328,7827.293227122338
15329,7724.386138185824
15330,5121.9035212581
15331,5790.898315780794
15332,6914.463588225681
15333,6371.20945788337
15334,5587.28829806314
15335,8000.103075395853
15336,4182.967533918927
15337,7564.777973092074
15338,6091.544362921037
15339,5448.514899343019
15340,6726.693476087608
15341,5690.60345243942
15342,5346.849083759902
15343,6691.595125382721
15344,6075.864523181672
15345,4440.358508129026
15346,6115.647921625425
15347,6235.515038183012
15348,4737.6275005551515
15349,6552.116067777532
15350,4661.618007203253
15351,6137.405622102591
15352,5870.862795481064
15353,6901.885573009862
15354,4347.038334128433
15355,4505.348568806687
15356,6049.567128186849
15357,6132.127238231169
15358,6986.657085671562
15359,5002.424333768919
15360,4398.657478874848
15361,5649.605663987033
15362,5979.338246853738
15363,6669.087758467325
15364,5035.561817540025
15365,4546.143804158639
15366,4731.472815693733
15367,7722.769204324506
15368,4967.15031287429
15369,5871.753917733117
15370,6447.848754049228
15371,3320.501748288756
15372,4832.294325995406
15373,6196.766166639173
15374,5695.484820180611
15375,5489.9845942485745
15376,5856.539659357089
15377,5687.358682109949
15378,4724.697511242439
15379,6069.064413901628
15380,7365.248179606668
15381,6057.429136144969
15382,5933.13885539064
15383,7257.398169809878
15384,5171.908485765425
15385,4321.148901502305
15386,4396.151904726759
15387,4416.078802436901
15388,6804.4172640678025
15389,6096.396411605959
15390,8328.102924452178
15391,6405.078164508689
15392,7259.154023073001
15393,5765.369837371096
15394,6090.948679404801
15395,5507.95225545732
15396,6864.3632359155345
15397,6871.982680868231
15398,5582.916853415951
15399,5560.197473216127
15400,4873.750248235943
15401,6157.00565649331
15402,6174.815402853057
15403,6063.469226373563
15404,7197.1846682055675
15405,7539.973472741573
15406,8223.448537001119
15407,5658.847653814607
15408,7650.8588131724955
15409,5824.281392965783
15410,5856.9625021570955
15411,8256.834925975882
15412,6669.443005668891
15413,6691.377715094216
15414,5685.627235792068
15415,5945.945915883848
15416,6958.520930318682
15417,5721.108011671571
15418,7565.233595356969
15419,4427.489276978341
15420,4139.955766447998
15421,6332.032389132197
15422,3661.9557612565604
15423,6685.594768212024
15424,6415.498008786903
15425,6962.002684160447
15426,3861.568848808527
15427,7603.421379418562
15428,6356.844934604553
15429,7338.918779315065
15430,6444.497766431909
15431,5274.825731675374
15432,5217.523912291264
15433,4733.219000168126
15434,8346.764010774585
15435,3960.9663535955906
15436,4690.773624257748
15437,5030.360774609522
15438,5523.199624373197
15439,7410.444001713555
15440,5411.488925127593
15441,6477.982612134851
15442,5464.042440107542
15443,4748.450513333079
15444,5701.406220186522
15445,3636.409777222674
15446,6546.700680915917
15447,6595.763178813655
15448,7967.33150380551
15449,8168.319624390146
15450,7113.304588803492
15451,5341.490090662358
15452,4577.20626562838
15453,7475.469851528078
15454,6497.374368595339
15455,8308.389020319913
15456,6467.746738359679
15457,6306.6935093596785
15458,5657.882091200176
15459,6205.498866171776
15460,5723.699054145543
15461,5128.420360419409
15462,5220.655864774762
15463,6714.290728749552
15464,6319.871603124954
15465,6709.806499721866
15466,7339.291590848627
15467,7311.350839713767
15468,3532.9877233914194
15469,2550.656467863527
15470,7410.717808606432
15471,7365.327788886092
15472,6561.325653689141
15473,5265.422123410759
15474,6860.074497549276
15475,5198.751525064073
15476,5312.24568911092
15477,5708.513924925361
15478,4468.571704187159
15479,7391.7131633230565
15480,6786.198601480501
15481,6485.00328673094
15482,6347.007847530217
15483,6762.1961509753
15484,6242.737015332747
15485,7497.572531701551
15486,6166.162201960623
15487,7863.075992667002
15488,7111.426204860543
15489,5470.5057583588205
15490,6208.458586511165
15491,6496.052110794647
15492,5202.751499525812
15493,7346.456836985844
15494,6363.731470989938
15495,6863.424250902741
15496,6930.269130700557
15497,4796.076920823398
15498,6689.008865762909
15499,6516.0738058132065
15500,7470.228650634763
15501,5518.26504183071
15502,7658.27260791321
15503,7423.751964979581
15504,6771.737459557576
15505,6185.877290581588
15506,4480.152158797795
15507,4736.405927269365
15508,6045.473852634206
15509,4064.6330494058966
15510,5005.420045192621
15511,6179.111355083796
15512,5338.648664054089
15513,6698.702066143058
15514,7800.071409368376
15515,6738.697783448213
15516,5171.939648300948
15517,7730.8626307172035
15518,7143.006866406517
15519,7092.143727225886
15520,5592.474784183669
15521,6497.803057607624
15522,6364.08392365932
15523,6587.132853883371
15524,7206.197829149189
15525,5174.077193142584
15526,5472.638972396979
15527,4541.317715217845
15528,4335.368046631105
15529,7481.710537713958
15530,6534.692468523882
15531,6680.542014880823
15532,7223.120059392799
15533,4838.692760763956
15534,7942.838119108012
15535,4090.251494017857
15536,6509.3085100435055
15537,5528.0854250456305
15538,6661.106442287077
15539,7436.980113375501
15540,6163.970226181509
15541,6380.7284256269395
15542,7131.100392120707
15543,7144.718336065134
15544,4706.34348347046
15545,4945.7794571652385
15546,7577.9666522786265
15547,5497.686598033253
15548,5979.973206280465
15549,7058.981109672057
15550,6641.1386482172165
15551,7128.6210337183165
15552,6432.715761345937
15553,4306.726816552829
15554,5499.18045561475
15555,5983.843534100406
15556,6804.143062226938
15557,7104.489337885885
15558,4132.110375922963
15559,5572.270265949119
15560,7771.723829568715
15561,5520.3121951761805
15562,7510.088056074428
15563,6689.225772644957
15564,4448.42863339862
15565,6414.832104252644
15566,6706.88867070979
15567,6558.175678408665
15568,3230.040345272615
15569,4276.7886299705215
15570,5329.56477167418
15571,5205.682971002196
15572,4157.462060467904
15573,5873.721047116211
15574,6237.646081984156
15575,6492.3093553005
15576,4334.164695459185
15577,5913.616242813929
15578,6566.81031501247
15579,3255.0757825673372
15580,7683.954388043205
15581,7385.034119370861
15582,6697.217822940689
15583,3056.872502362301
15584,5343.98069550786
15585,4140.430113563874
15586,6282.76889181813
15587,7966.355330679737
15588,6429.202129456359
15589,5718.22606890474
15590,5118.261329200048
15591,5982.508193109585
15592,7879.417078718239
15593,7245.369010441442
15594,6851.133564621128
15595,4390.026315371755
15596,4714.884855902479
15597,5080.265201564569
15598,5281.217768421433
15599,5601.110571166499
15600,5542.026842185105
15601,6117.796375588662
15602,7693.05899850192
15603,5012.976480862912
15604,7344.351141057068
15605,6425.539517203962
15606,7582.089215648555
15607,5802.899805264552
15608,6782.030129684323
15609,7339.286338347998
15610,6534.117329076891
15611,4759.87757982238
15612,5192.999986767796
15613,6496.392332415229
15614,4613.183106948886
15615,6247.695546079617
15616,6114.619634586923
15617,5418.521859500996
15618,6505.818084198401
15619,6797.849751826863
15620,4980.033893818898
15621,4273.649995449407
15622,4219.204783631666
15623,5444.9843809787335
15624,5171.457157882078
15625,4198.908050050025
15626,7374.552543207856
15627,5528.259622374064
15628,5731.677165870472
15629,5883.24734287976
15630,5248.57807420523
15631,5726.567523977134
15632,5920.773145072387
15633,4983.183766845831
15634,7030.73925691572
15635,5299.760815623051
15636,7544.683365389437
15637,5694.859608650888
15638,5635.011509034863
15639,4230.778116430214
15640,5606.7103881363255
15641,7088.040728907405
15642,6605.93269618343
15643,4515.720959379083
15644,6161.312493542873
15645,5502.8341155721755
15646,5579.465268566666
15647,7966.492825007832
15648,5752.765269564417
15649,6790.261534247541
15650,7981.494057502778
15651,5550.312354861758
15652,8069.206620448711
15653,4978.081385889269
15654,6796.976992303723
15655,4979.42556758614
15656,7203.1655086602095
15657,5376.137204619226
15658,6766.460916852409
15659,7214.566091510207
15660,7719.927836302157
15661,7434.722483926238
15662,6817.108816623262
15663,7375.221878719758
15664,4287.141617695381
15665,4310.856873977334
15666,4795.657641349951
15667,6675.999450133845
15668,7384.209298547636
15669,5074.952923256296
15670,6575.454066498043
15671,5825.764391329729
15672,5348.144800244314
15673,6945.482747451406
15674,6257.029923924639
15675,4723.750885751283
15676,5545.064672703076
15677,5322.11303725859
15678,7492.23204594333
15679,6312.4274812667645
15680,4883.757630082768
15681,7302.391341425275
15682,6250.938174615183
15683,5654.116410073263
15684,6612.26417261105
15685,6815.680007562631
15686,7804.931824390444
15687,5578.087475614199
15688,7322.543786854636
15689,7301.4854710147465
15690,6773.612436789384
15691,6286.571619569766
15692,5151.136216428271
15693,6637.801844072961
15694,6728.219389004707
15695,6181.44911796118
15696,7221.66460811578
15697,5316.730381100284
15698,7283.158786246493
15699,5589.518819705721
15700,7364.676176307448
15701,4063.157021900851
15702,4724.51458298842
15703,3100.313147771938
15704,4487.894596544162
15705,6054.0492190534915
15706,6620.499475942621
15707,6073.857751672919
15708,6277.109997778014
15709,7063.090614173629
15710,6725.286485053612
15711,6376.726434025288
15712,7119.150847820534
15713,5525.253192848394
15714,4608.321681454245
15715,5545.960472731327
15716,6425.657231495615
15717,5106.836297265345
15718,5445.264282157386
15719,6168.889598203801
15720,5689.063488937674
15721,5474.563283571799
15722,6842.926851724616
15723,6370.129343100156
15724,5124.9261487671665
15725,5450.337412625678
15726,6838.663753818197
15727,6951.311829655641
15728,5034.0935838924215
15729,5574.220394473956
15730,4847.794969142995
15731,5095.499898978678
15732,7503.6470182556095
15733,6560.007857520581
15734,7406.451379417489
15735,5273.434484898842
15736,6658.10371623502
15737,6734.493411018362
15738,3404.5857123156766
15739,3949.4144357332916
15740,7265.839917397951
15741,5617.817985708934
15742,6024.20317301002
15743,4505.459762016255
15744,6942.104356609026
15745,7752.801338238945
15746,6375.644917639682
15747,5418.30426050964
15748,7261.4731157621045
15749,5635.67374225031
15750,6066.426558268035
15751,5440.266806369173
15752,6006.894123447758
15753,6555.575516498777
15754,6168.639195788783
15755,5798.343971179631
15756,6786.346197536189
15757,5531.849854639745
15758,5549.299088835922
15759,5568.668449054871
15760,5777.018783436355
15761,5182.39438494155
15762,3337.2596103945116
15763,5752.436238870803
15764,7951.342422051881
15765,7162.89641514058
15766,8300.252075939397
15767,5853.701088278345
15768,5472.212100028202
15769,4551.928985297787
15770,4248.1511510343735
15771,5322.73061109234
15772,5674.864307563492
15773,6555.695279093856
15774,3763.062420094806
15775,6463.498432506483
15776,5829.045729456893
15777,7746.465371640499
15778,6029.913448583475
15779,7672.530063538643
15780,6139.7091603662975
15781,6466.521884085197
15782,6850.995181648177
15783,7946.51890269503
15784,7692.927610854944
15785,7858.827780225502
15786,6526.865847703666
15787,6656.027343368383
15788,4491.225334082459
15789,4950.510352029082
15790,5530.086424839006
15791,6787.919930048338
15792,6665.146716535719
15793,6300.458534389078
15794,6700.454894007696
15795,6065.8768637605845
15796,7879.063144268548
15797,6523.408686366247
15798,4622.549365572117
15799,6480.541176231236
15800,6686.123193731945
15801,5502.749460434859
15802,4869.692476511643
15803,5844.689442332046
15804,7267.545129617312
15805,6366.403682305661
15806,7468.382552535293
15807,5175.997950908038
15808,4746.158656239819
15809,7702.3815395408365
15810,5884.394980293172
15811,7810.566412402173
15812,5846.165832213876
15813,5183.509855556524
15814,6154.883029947277
15815,7427.568626560407
15816,6748.546863024848
15817,3965.8568150556066
15818,7141.081685560906
15819,7209.620188588964
15820,4963.711062584111
15821,7201.288328294659
15822,6046.016927678943
15823,6106.335243391815
15824,5679.869692289403
15825,7186.195833076652
15826,6052.912267692029
15827,5998.770296794634
15828,4767.002955579829
15829,4581.359987019446
15830,3662.6044533061504
15831,7145.301400870692
15832,4432.875514084968
15833,4679.448601913713
15834,6326.5479510581945
