failure,id
0,26570
0,26571
0,26572
0,26573
1,26574
0,26575
0,26576
0,26577
0,26578
0,26579
0,26580
0,26581
0,26582
0,26583
0,26584
0,26585
0,26586
0,26587
0,26588
0,26589
0,26590
0,26591
0,26592
0,26593
0,26594
1,26595
0,26596
0,26597
1,26598
0,26599
0,26600
0,26601
1,26602
0,26603
0,26604
0,26605
0,26606
0,26607
0,26608
0,26609
0,26610
0,26611
0,26612
0,26613
0,26614
0,26615
0,26616
0,26617
1,26618
0,26619
1,26620
0,26621
0,26622
0,26623
0,26624
0,26625
0,26626
1,26627
0,26628
1,26629
0,26630
0,26631
1,26632
0,26633
0,26634
1,26635
1,26636
0,26637
1,26638
1,26639
1,26640
1,26641
0,26642
0,26643
0,26644
0,26645
0,26646
1,26647
0,26648
0,26649
0,26650
0,26651
0,26652
0,26653
0,26654
0,26655
0,26656
0,26657
0,26658
0,26659
1,26660
0,26661
0,26662
0,26663
0,26664
0,26665
0,26666
0,26667
0,26668
0,26669
0,26670
0,26671
0,26672
1,26673
0,26674
0,26675
0,26676
1,26677
0,26678
0,26679
0,26680
1,26681
0,26682
1,26683
0,26684
0,26685
0,26686
0,26687
0,26688
0,26689
0,26690
0,26691
0,26692
1,26693
0,26694
0,26695
0,26696
0,26697
0,26698
0,26699
0,26700
0,26701
0,26702
0,26703
0,26704
1,26705
1,26706
0,26707
0,26708
1,26709
1,26710
0,26711
0,26712
1,26713
1,26714
0,26715
0,26716
0,26717
0,26718
0,26719
0,26720
0,26721
1,26722
0,26723
0,26724
0,26725
0,26726
1,26727
0,26728
0,26729
0,26730
0,26731
0,26732
0,26733
0,26734
1,26735
0,26736
0,26737
0,26738
1,26739
0,26740
1,26741
0,26742
1,26743
1,26744
0,26745
0,26746
0,26747
0,26748
1,26749
0,26750
0,26751
1,26752
0,26753
0,26754
0,26755
0,26756
0,26757
0,26758
0,26759
1,26760
0,26761
0,26762
0,26763
0,26764
0,26765
1,26766
0,26767
0,26768
1,26769
1,26770
0,26771
0,26772
0,26773
1,26774
0,26775
0,26776
0,26777
0,26778
0,26779
0,26780
0,26781
0,26782
0,26783
0,26784
1,26785
0,26786
0,26787
0,26788
0,26789
0,26790
1,26791
0,26792
1,26793
1,26794
0,26795
0,26796
0,26797
0,26798
0,26799
0,26800
1,26801
0,26802
0,26803
1,26804
0,26805
0,26806
0,26807
0,26808
0,26809
0,26810
0,26811
1,26812
0,26813
0,26814
0,26815
1,26816
